method,solution_file,wall_elapsed_s,profile_wall_elapsed_s,sampling_s,transport_s,postprocess_s,profile_total_s,steps_profiled,events_total,boundary_crossings,absorb_continue_events,census_events,absorb_capture_events,weight_floor_kills,reflections,event_cap_hits,transported_particles_total,avg_events_per_particle,fastpath_threshold,max_temperature_keV
fc,crooked_pipe_imc_solution_fc_uniform_Nb250_12x30.npz,9.177080846995523,5.591833016995224,0.0,4.3290053219898255,0.0,4.3290053219898255,7,0,0,0,0,0,0,0,0,0,0.0,0.0,0.012070307154182428
cf,crooked_pipe_imc_solution_cf_uniform_Nb250_12x30.npz,6.003329209997901,2.422289025998907,0.10309955300181173,1.057874626996636,0.06457158199918922,1.2264645260001998,7,53443,3678,17513,32252,0,0,0,0,29005,1.8425443888984658,0.0,0.00999998354703014
