0.,0.,0.5773502691896258,0.,0.,0.,0.,0.,0.,0.
0.,0.,0.,0.,0.4472135954999579,0.,0.,0.,0.,0.
0.5773502691896258,0.,0.,-0.2581988897471611,0.,0.4472135954999579,0.,0.,0.,0.
0.,0.,-0.2581988897471611,0.,0.,0.,0.,0.4140393356054125,0.,0.
0.,0.4472135954999579,0.,0.,0.,0.,-0.29277002188455997,0.,0.3779644730092272,0.
0.,0.,0.4472135954999579,0.,0.,0.,0.,-0.11952286093343936,0.,0.4629100498862757
0.,0.,0.,0.,-0.29277002188455997,0.,0.,0.,0.,0.
0.,0.,0.,0.4140393356054125,0.,-0.11952286093343936,0.,0.,0.,0.
0.,0.,0.,0.,0.3779644730092272,0.,0.,0.,0.,0.
0.,0.,0.,0.,0.,0.4629100498862757,0.,0.,0.,0.
