Time	N	Total Energy	Total Internal Energy	Total Radiation Energy	Boundary Emission	Lost Energy
===============================================================================================================
0.000000	100000	0.000600	0.000600	0.000000	0.000000	0.000000
2.800000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
2.900000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
3.000000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
3.100000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
3.200000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
3.300000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
3.400000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
3.500000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
3.600000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
3.700000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
3.800000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
3.900000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
4.000000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
4.100000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
4.200000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
4.300000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
4.400000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
4.500000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
4.600000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
4.700000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
4.800000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
4.900000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
5.000000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
5.100000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
5.200000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
5.300000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
5.400000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
5.500000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
